

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Projects\Organelles\PURExpress_frex_systems\2024.01.26_PURExpress_DNAconcs_v2\2024.01.26_PURExp_DNA_concs_Biotek4_v2.xpt
Protocol File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Biotek\Protocols\deGFP_MGapt_384.prt



Plate Number	Plate 1
Date	1/26/2024
Time	5:15:28 PM
Reader Type:	Synergy H1
Reader Serial Number:	18060417
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:03:00, 241 Reads
    Read	mGapt
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 135
	Filter Set 2
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 150
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
    Read	deGFP
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1	SPL4	SPL7	SPL10	SPL13	SPL16	SPL19																	Well ID
C		SPL2	SPL5	SPL8	SPL11	SPL14	SPL17	SPL20																	Well ID
D		SPL3	SPL6	SPL9	SPL12	SPL15	SPL18	SPL21																	Well ID
E																									Well ID
F		SPL1	SPL4	SPL7	SPL10		SPL25	SPL28	SPL31	SPL34															Well ID
G		SPL2	SPL5	SPL8	SPL11		SPL26	SPL29	SPL32	SPL35															Well ID
H		SPL3	SPL6	SPL9	SPL12		SPL27	SPL30	SPL33	SPL36															Well ID
I		SPL1	SPL2																						Well ID
J		SPL13	SPL16	SPL19	SPL22		SPL37	SPL40	SPL43	SPL46															Well ID
K		SPL14	SPL17	SPL20	SPL23		SPL38	SPL41	SPL44	SPL47															Well ID
L		SPL15	SPL18	SPL21	SPL24		SPL39	SPL42	SPL45	SPL48															Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

mGapt:610,650

Time	T° mGapt:610,650	B2	B3	B4	B5	B6	B7	B8	C2	C3	C4	C5	C6	C7	C8	D2	D3	D4	D5	D6	D7	D8	F2	F3	F4	F5	F7	F8	F9	F10	G2	G3	G4	G5	G7	G8	G9	G10	H2	H3	H4	H5	H7	H8	H9	H10	I2	I3	J2	J3	J4	J5	J7	J8	J9	J10	K2	K3	K4	K5	K7	K8	K9	K10	L2	L3	L4	L5	L7	L8	L9	L10
9:30:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	505	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	535	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	455																																																		
9:33:37	37.1	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	527	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	512	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	494																																																		
9:36:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	494	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	495	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	519																																																		
9:39:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	515	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	534	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	477																																																		
9:42:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	499	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	513	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	476																																																		
9:45:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	489	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	480	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	522																																																		
9:48:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	522	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	538	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	502																																																		
9:51:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	506	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	503	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	482																																																		
9:54:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	482	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	474	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	520																																																		
9:57:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	513	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	540	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	516																																																		
10:00:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	529	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	548	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	479																																																		
10:03:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	523	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	462	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	513																																																		
10:06:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	522	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	525	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	508																																																		
10:09:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	497	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	558	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	480																																																		
10:12:37	36.9	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	546	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	507	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	495																																																		
10:15:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	520	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	491	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	464																																																		
10:18:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	508	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	533	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	497																																																		
10:21:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	520	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	479	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	492																																																		
10:24:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	500	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	517	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	502																																																		
10:27:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	518	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	474	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	516																																																		
10:30:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	514	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	552	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	446																																																		
10:33:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	535	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	462	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	507																																																		
10:36:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	527	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	512	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	524																																																		
10:39:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	535	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	509	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	495																																																		
10:42:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	529	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	491	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	498																																																		
10:45:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	525	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	487	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	459																																																		
10:48:37	37.1	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	522	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	517	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	491																																																		
10:51:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	546	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	517	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	515																																																		
10:54:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	509	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	503	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	481																																																		
10:57:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	572	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	532	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	499																																																		
11:00:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	554	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	560	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	524																																																		
11:03:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	545	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	504	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	474																																																		
11:06:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	541	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	496	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	519																																																		
11:09:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	488	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	515	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	488																																																		
11:12:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	509	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	511	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	510																																																		
11:15:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	505	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	570	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	489																																																		
11:18:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	500	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	505	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	518																																																		
11:21:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	494	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	556	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	496																																																		
11:24:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	564	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	525	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	485																																																		
11:27:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	513	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	462	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	507																																																		
11:30:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	532	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	551	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	515																																																		
11:33:37	36.9	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	538	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	518	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	492																																																		
11:36:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	551	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	539	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	504																																																		
11:39:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	521	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	477	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	508																																																		
11:42:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	522	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	538	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	485																																																		
11:45:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	547	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	532	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	482																																																		
11:48:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	556	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	520	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	528																																																		
11:51:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	505	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	518	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	507																																																		
11:54:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	486	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	519	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	507																																																		
11:57:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	514	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	510	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	498																																																		
12:00:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	522	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	533	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	487																																																		

Results
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Max V [mGapt:610,650]
																									R-Squared [mGapt:610,650]
																									t at Max V [mGapt:610,650]
																									Lagtime [mGapt:610,650]
																									Max V [mGapt:610,650[2]]
																									R-Squared [mGapt:610,650[2]]
																									t at Max V [mGapt:610,650[2]]
																									Lagtime [mGapt:610,650[2]]
																									Max V [deGFP:485,515]
																									R-Squared [deGFP:485,515]
																									t at Max V [deGFP:485,515]
																									Lagtime [deGFP:485,515]
																									Max V [deGFP:485,515[2]]
																									R-Squared [deGFP:485,515[2]]
																									t at Max V [deGFP:485,515[2]]
																									Lagtime [deGFP:485,515[2]]
B		-791000.000	-645666.667	411666.667	-569000.000	-309333.333	255333.333	19333.333																	Max V [mGapt:610,650]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [mGapt:610,650]
		11:43:30	11:01:30	11:34:30	8:55:30	10:10:30	9:25:30	7:52:30																	t at Max V [mGapt:610,650]
		?????	11:35:15	10:55:47	9:14:13	10:33:28	9:08:13	7:52:11																	Lagtime [mGapt:610,650]
		1425666.667	1500666.667	-1283666.667	-951000.000	-664000.000	644666.667	-53666.667																	Max V [mGapt:610,650[2]]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [mGapt:610,650[2]]
		5:46:42	5:01:42	5:43:42	5:13:42	8:37:42	8:46:42	2:28:42																	t at Max V [mGapt:610,650[2]]
		5:11:43	4:37:22	6:08:06	5:34:48	9:03:37	8:30:43	2:30:41																	Lagtime [mGapt:610,650[2]]
		511666.667	441000.000	337666.667	262666.667	185666.667	119333.333	5666.667																	Max V [deGFP:485,515]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [deGFP:485,515]
		0:40:54	1:07:54	1:16:54	1:49:54	1:07:54	1:16:54	2:19:54																	t at Max V [deGFP:485,515]
		0:24:41	0:30:54	0:32:59	0:46:38	0:38:30	0:43:31	2:18:45																	Lagtime [deGFP:485,515]
		8495333.333	9172000.000	7273000.000	6790666.667	5084000.000	3592000.000	-31333.333																	Max V [deGFP:485,515[2]]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [deGFP:485,515[2]]
		0:23:07	0:29:07	0:32:07	0:38:07	0:44:07	1:02:07	3:02:07																	t at Max V [deGFP:485,515[2]]
		0:16:14	0:20:00	0:22:53	0:26:00	0:31:04	0:36:43	3:01:17																	Lagtime [deGFP:485,515[2]]
C		-825000.000	535333.333	-484666.667	-463333.333	-302000.000	330666.667	-21333.333																	Max V [mGapt:610,650]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [mGapt:610,650]
		7:22:30	5:04:30	5:19:30	5:34:30	9:46:30	10:28:30	6:37:30																	t at Max V [mGapt:610,650]
		7:49:50	4:35:39	5:46:20	5:55:55	10:10:24	10:14:06	6:38:43																	Lagtime [mGapt:610,650]
		-1406666.667	1060000.000	-1129333.333	827333.333	-753666.667	682000.000	53000.000																	Max V [mGapt:610,650[2]]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [mGapt:610,650[2]]
		11:16:42	10:13:42	10:28:42	5:58:42	6:31:42	7:07:42	6:34:42																	t at Max V [mGapt:610,650[2]]
		11:58:29	9:28:06	11:01:53	5:29:55	6:51:57	6:52:55	6:34:35																	Lagtime [mGapt:610,650[2]]
		489000.000	475666.667	338000.000	265666.667	166333.333	119333.333	4666.667																	Max V [deGFP:485,515]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [deGFP:485,515]
		1:07:54	1:10:54	0:55:54	1:16:54	0:55:54	1:07:54	1:49:54																	t at Max V [deGFP:485,515]
		0:30:18	0:35:49	0:31:51	0:38:21	0:33:29	0:39:20	1:49:03																	Lagtime [deGFP:485,515]
		8629333.333	8540333.333	7902666.667	5913000.000	5120666.667	3644333.333	-30000.000																	Max V [deGFP:485,515[2]]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [deGFP:485,515[2]]
		0:26:07	0:29:07	0:35:07	0:38:07	0:47:07	0:59:07	10:32:07																	t at Max V [deGFP:485,515[2]]
		0:18:31	0:20:03	0:24:04	0:26:01	0:30:03	0:35:08	10:31:49																	Lagtime [deGFP:485,515[2]]
D		626333.333	-624666.667	-438666.667	317000.000	-366000.000	251666.667	-26333.333																	Max V [mGapt:610,650]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [mGapt:610,650]
		7:22:30	8:43:30	7:46:30	4:40:30	11:46:30	9:31:30	8:01:30																	t at Max V [mGapt:610,650]
		6:44:28	9:16:55	8:19:02	4:16:04	?????	9:13:51	8:02:58																	Lagtime [mGapt:610,650]
		1376333.333	1169000.000	1281000.000	850666.667	758666.667	676000.000	56000.000																	Max V [mGapt:610,650[2]]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [mGapt:610,650[2]]
		4:46:42	11:58:42	5:55:42	8:49:42	8:13:42	6:37:42	9:19:42																	t at Max V [mGapt:610,650[2]]
		4:17:59	11:16:32	5:31:19	8:20:02	7:51:59	6:23:06	9:18:41																	Lagtime [mGapt:610,650[2]]
		539333.333	420333.333	355666.667	287666.667	183333.333	106333.333	4000.000																	Max V [deGFP:485,515]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [deGFP:485,515]
		0:58:54	0:58:54	1:04:54	1:19:54	1:19:54	1:01:54	0:46:54																	t at Max V [deGFP:485,515]
		0:29:20	0:29:42	0:34:17	0:41:32	0:41:06	0:38:47	0:46:54																	Lagtime [deGFP:485,515]
		9764333.333	8261333.333	6737666.667	6253333.333	4981333.333	3238000.000	40000.000																	Max V [deGFP:485,515[2]]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000																	R-Squared [deGFP:485,515[2]]
		0:26:07	0:29:07	0:32:07	0:38:07	0:44:07	1:02:07	3:44:07																	t at Max V [deGFP:485,515[2]]
		0:18:02	0:19:41	0:21:51	0:25:38	0:30:16	0:35:14	3:44:03																	Lagtime [deGFP:485,515[2]]
E																									Max V [mGapt:610,650]
																									R-Squared [mGapt:610,650]
																									t at Max V [mGapt:610,650]
																									Lagtime [mGapt:610,650]
																									Max V [mGapt:610,650[2]]
																									R-Squared [mGapt:610,650[2]]
																									t at Max V [mGapt:610,650[2]]
																									Lagtime [mGapt:610,650[2]]
																									Max V [deGFP:485,515]
																									R-Squared [deGFP:485,515]
																									t at Max V [deGFP:485,515]
																									Lagtime [deGFP:485,515]
																									Max V [deGFP:485,515[2]]
																									R-Squared [deGFP:485,515[2]]
																									t at Max V [deGFP:485,515[2]]
																									Lagtime [deGFP:485,515[2]]
F		?????	?????	?????	?????		?????	?????	?????	?????															Max V [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															t at Max V [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															Lagtime [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															Max V [mGapt:610,650[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [mGapt:610,650[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															t at Max V [mGapt:610,650[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															Lagtime [mGapt:610,650[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															Max V [deGFP:485,515]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [deGFP:485,515]
		?????	?????	?????	?????		?????	?????	?????	?????															t at Max V [deGFP:485,515]
		?????	?????	?????	?????		?????	?????	?????	?????															Lagtime [deGFP:485,515]
		?????	?????	?????	?????		?????	?????	?????	?????															Max V [deGFP:485,515[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [deGFP:485,515[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															t at Max V [deGFP:485,515[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															Lagtime [deGFP:485,515[2]]
G		?????	?????	?????	?????		?????	?????	?????	?????															Max V [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															t at Max V [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															Lagtime [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															Max V [mGapt:610,650[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [mGapt:610,650[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															t at Max V [mGapt:610,650[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															Lagtime [mGapt:610,650[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															Max V [deGFP:485,515]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [deGFP:485,515]
		?????	?????	?????	?????		?????	?????	?????	?????															t at Max V [deGFP:485,515]
		?????	?????	?????	?????		?????	?????	?????	?????															Lagtime [deGFP:485,515]
		?????	?????	?????	?????		?????	?????	?????	?????															Max V [deGFP:485,515[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [deGFP:485,515[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															t at Max V [deGFP:485,515[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															Lagtime [deGFP:485,515[2]]
H		?????	?????	?????	?????		?????	?????	?????	?????															Max V [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															t at Max V [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															Lagtime [mGapt:610,650]
		?????	?????	?????	?????		?????	?????	?????	?????															Max V [mGapt:610,650[2]]
		?????	?????	?????	?????		?????	?????	?????	?????															R-Squared [mGapt:610,650[2]]
